BSSID,Latitude,Longitude,Security
001B2F920229,55.865639,-4.283733,None
001BBFBA1111,55.865639,-4.283733,WPA
2A02978A71A9,55.874442,-4.29258,None
0016010D309B,55.874442,-4.29258,None
003065249DC0,55.874442,-4.29258,None
001B2F41CFBE,55.891933,-4.381319,WPA
00173FDBFE51,55.892032,-4.381159,WEP
00120E267F6D,55.892662,-4.380386,WEP
00223F1B2AE0,55.893361,-4.379513,WPA
001B11E78A1D,55.893361,-4.379513,WPA
001F338CEFA4,55.893533,-4.379325,WPA
0015E9CC7E34,55.893533,-4.379325,WEP
001CDF7D6CFF,55.893736,-4.379103,None
002268DA9AD2,55.893883,-4.378911,WPA2
0022B0DCE449,55.893883,-4.378911,WPA
001217421C9C,55.894127,-4.378601,WEP
001D688041FD,55.894127,-4.378601,WEP
00173F9F2280,55.894631,-4.376745,WPA
001F9F44DA8F,55.894631,-4.376745,WEP
001F9F4231C7,55.894631,-4.376745,WEP
0810730AA2C4,55.894631,-4.376745,WPA
001CDF8CAFD3,55.894631,-4.376745,WEP
00147F6018EF,55.894631,-4.376745,WEP
0001389DB811,55.894631,-4.376745,None
001CF0593769,55.894631,-4.376745,None
001B9E670649,55.894719,-4.376355,WEP
00173F4587D8,55.894981,-4.375044,WPA
00147F9D9935,55.894981,-4.375044,WEP
001CDF56C1CF,55.894981,-4.375044,None
001F334F6FC2,55.894981,-4.375044,WPA
0024B2953536,55.894981,-4.375044,WPA
00184DB06470,55.894429,-4.372354,WPA
001F33F30B3F,55.894429,-4.372354,WPA
0011509334DA,55.894763,-4.371676,None
0019E0A58ABA,55.894763,-4.371676,None
001FE29C3E8B,55.894763,-4.371676,WPA2
0021049AF23A,55.894793,-4.371279,WPA2
0A21049AF23A,55.894793,-4.371279,None
0621049AF23A,55.894793,-4.371279,None
00173F071C40,55.894366,-4.369894,WPA
00242B3EEFE6,55.894238,-4.36946,WPA2
0024B23456E0,55.894097,-4.368999,WPA
001D68096291,55.892639,-4.368008,WEP
00223F49F304,55.892639,-4.368008,WPA
001D68EF4B07,55.892639,-4.368008,WEP
002163FAF2D2,55.892639,-4.368008,WPA
001B2F94697C,55.89261,-4.368436,WPA
00147F3DF198,55.89261,-4.368436,WEP
00184DB270BE,55.89261,-4.368436,WPA
0024D2B9BA31,55.89261,-4.368436,WPA
00147F9DA9DC,55.89261,-4.368436,WEP
001D6869CB21,55.89261,-4.368436,WEP
00184D42D416,55.89261,-4.368436,WPA
001B2F9B5C62,55.892301,-4.369147,None
00147CBD66A7,55.892301,-4.369147,WEP
002163713375,55.892301,-4.369147,WEP
00146CB553EE,55.892301,-4.369147,WPA
001E2AEAE4B4,55.892301,-4.369147,WPA
002417343DBF,55.892301,-4.369147,WEP
001D684C9747,55.892111,-4.369324,WEP
001B9EE189F9,55.892111,-4.369324,None
001E2A2619E6,55.892111,-4.369324,WPA
00234EA2B269,55.892111,-4.369324,WPA2
00217C833951,55.892111,-4.369324,WPA2
00217C833953,55.892111,-4.369324,None
00184DB9C6F6,55.892111,-4.369324,WEP
0002CFE4593B,55.892111,-4.369324,WPA
001D687F9E75,55.892111,-4.369324,WEP
001B2F9F51DE,55.892111,-4.369324,WPA
001D680492B3,55.891933,-4.369434,WEP
00242BCD1117,55.891933,-4.369434,WEP
02242BCD1119,55.891933,-4.369434,None
02242BCD1118,55.891933,-4.369434,None
002104A98592,55.89174,-4.369474,WPA2
0022B065E1DE,55.891552,-4.369429,WPA
00147F28A6E9,55.891552,-4.369429,WPA
001B2F76B89A,55.891552,-4.369429,WEP
00147FA068C1,55.891552,-4.369429,WEP
00210412151B,55.891552,-4.369429,WPA2
02242C407D8E,55.891495,-4.370971,None
00242C407D8D,55.891495,-4.370971,WPA2
02242C407D8F,55.891495,-4.370971,None
00184D3FA1DC,55.891679,-4.370893,WEP
00147FABBFB7,55.891679,-4.370893,None
0018F677BCAD,55.892258,-4.37049,WEP
00223F4101C0,55.892258,-4.37049,WPA
00223F49F20E,55.892258,-4.37049,WPA
