,X,Y
0,411727.68496420066,6198054.648278551
1,411681.76300762,6198065.160725101
2,411773.8480047133,6198043.686086768
3,412061.70952295174,6197848.893878704
4,411988.74346595054,6197860.843879792
5,412180.798517461,6198085.385509356
6,412218.44007125864,6198113.455165452
7,411913.15082605975,6197872.737319238
8,411796.7921525554,6197875.221426535
9,411798.968560401,6197914.476365906
10,411760.180868067,6198044.855717363
11,412310.91671676654,6198138.9649976855
12,412361.5657527864,6198207.407148322
13,412112.2081129422,6197888.056732064
14,412152.4956625427,6197987.768166292
15,411701.2211500256,6198062.870569612
16,412101.6156035864,6197855.9866011
17,412102.5355769837,6197873.557933406
18,412339.2756821865,6198159.43096186
19,412267.7032236044,6198128.931670863
20,412272.9710811312,6198105.111609291
21,412369.50681260123,6198250.664533182
22,412210.6377656106,6197877.038858063
23,412345.3268983078,6198134.147830029
24,412255.9130095708,6197809.878669236
25,412283.9538143139,6197786.821065631
26,412264.26705551805,6198113.637978543
27,412081.87480133923,6197982.746928536
28,412166.5343576596,6198023.3309161635
29,412288.3031254035,6198290.720347828
