name,lon,lat
Point 1,39.0968945,22.3092746
Point 2,39.0954502,22.3162156
Point 3,39.1039607,22.3254807
Point 4,39.1129239,22.323843
Point 5,39.1116072,22.3222186
Point 6,39.1131103,22.3257169
Point 7,39.1131277,22.3217633
Point 8,39.1118547,22.323404
Point 9,39.1120702,22.3280682
Point 10,39.0941391,22.310819
Point 11,39.0945801,22.3064146
Point 12,39.1114147,22.3267709
Point 13,39.1104199,22.3235483
Point 14,39.1122371,22.3261191
Point 15,39.10913,22.3248534
Point 16,39.1113052,22.3237007
Point 17,39.110839,22.32629
Point 18,39.0932373,22.310928
Point 19,39.1071621,22.3250839
Point 20,39.1087564,22.3264088
Point 21,39.0929961,22.3133918
Point 22,39.0937529,22.3089576
Point 23,39.1072092,22.3278035
Point 24,39.1055018,22.3279361
Point 25,39.1092972,22.3284578
Point 26,39.1083656,22.329207
Point 27,39.0942522,22.3152457
Point 28,39.1114875,22.3298514
Point 29,39.1054836,22.3290575
Point 30,39.094003,22.3132281
Point 31,39.1033018,22.3278048
Point 32,39.1031412,22.3262466
Point 33,39.1045643,22.3290872
Point 34,39.1047915,22.3271868
Point 35,39.0930226,22.3083738
Point 36,39.1124433,22.3205113
Point 37,39.0953789,22.3144276
Point 38,39.1094695,22.3270337
Point 39,39.1082886,22.3244031
Point 40,39.1059736,22.3270198
Point 41,39.1092895,22.3301486
Point 42,39.094988,22.3096417
Point 43,39.0955875,22.3112803
Point 44,39.0963789,22.3073803
Point 45,39.097492,22.31705
Point 46,39.1069773,22.3212474
Point 47,39.1062052,22.3217911
Point 48,39.1060349,22.3235625
Point 49,39.1067157,22.3234855
Point 50,39.1049863,22.3212132
Point 51,39.1026672,22.3246969
Point 52,39.1043393,22.3227198
Point 53,39.104985,22.3240317
Point 54,39.1075528,22.3150934
Point 55,39.1043504,22.3247181
Point 56,39.1040772,22.319785
Point 57,39.1073036,22.3174487
Point 58,39.1034557,22.3202959
Point 59,39.1065775,22.3190904
Point 60,39.1087628,22.3195545
Point 61,39.1075856,22.3230616
Point 62,39.1050392,22.318212
Point 63,39.1062815,22.3200677
Point 64,39.0962828,22.3145887
Point 65,39.1032648,22.3187222
Point 66,39.1060567,22.3170228
Point 67,39.10515,22.3192313
Point 68,39.0954914,22.3138672
Point 69,39.1031463,22.3176267
Point 70,39.1096737,22.3162188
Point 71,39.1093052,22.3192156
Point 72,39.1106277,22.3193144
Point 73,39.1080296,22.318528
Point 74,39.1104251,22.3179933
Point 75,39.1055266,22.3164602
Point 76,39.0954739,22.3129737
Point 77,39.0981841,22.3182168
Point 78,39.0921318,22.3222069
Point 79,39.094156,22.3180133
Point 81,39.0964318,22.3125363
Point 82,39.0972296,22.3141268
Point 82,39.0973872,22.3156865
Point 83,39.0939146,22.3188741
Point 84,39.0935233,22.3202815
Point 85,39.0938165,22.3236798
Point 86,39.0920554,22.3198572
Point 87,39.1087893,22.3165341
Point 88,39.1044333,22.3262638
Point 89,39.1382314,22.3204614
Point 90,39.1324464,22.3226557
Point 91,39.131513,22.3218567
